timestamp,pm25,pm10,co,o3,no2,so2,temp,rh,dewpt,precip,clouds,wind_spd,wind_gusts,soil_temp_0_7,soil_moist_0_7,oxidation_potential,pollution_load,no2_so2_log_diff,humid_sulfate_risk,thermal_stability,dust_source_potential,is_frozen,is_outlier,is_pm25_sensor_error,station_id,province,district,wind_sin,wind_cos,split
2023-01-01 00:00:00,0.4535764332920408,0.5745469568408094,0.5850443872447063,0.7052896725440806,-0.11040586861997745,-0.14289624164887402,-1.617052966487417,0.716216216216216,-2.6752989840349803,0.0,1.0,0.625,0.11904761904761907,-1.618662247846391,0.8919667590027702,-0.12839296594444066,0.20707958931330558,-0.8966090583498367,-0.14423789193086287,0.7655372084183875,0.6195559341787932,1.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.8191520442889918,0.573576436351046,train
2023-01-01 01:00:00,0.4535764332920408,0.5660372791445087,0.5624071459769154,0.7052896725440806,-0.11040586861997745,-0.15357035434630276,-1.688569654899372,0.7702702702702702,-2.55553926656134,0.0,1.0,0.6124999999999999,0.2142857142857142,-1.6389080054937315,0.889196675900277,-0.14268855736030214,0.1878911429625588,-0.8658899633276369,-0.13878817210585814,0.6391915878166741,0.6165685100935533,1.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.7880107536067218,0.6156614753256585,train
2023-01-01 02:00:00,0.4916593570290512,0.6025020479985167,0.5624071459769154,0.7128463476070528,-0.11040586861997745,-0.12913783394633288,-1.7362474471740086,0.7972972972972971,-2.475699454912247,0.0,1.0,0.48750000000000016,0.16666666666666674,-1.6793995207884118,0.889196675900277,-0.10872758373218405,0.19272016820461899,-0.9362044650640956,-0.10638468727805334,0.6391915878166741,0.5830693731742951,1.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.5877852522924734,0.8090169943749473,train
2023-01-01 03:00:00,0.5283048414383593,0.6406195668778366,0.5624071459769154,0.7229219143576826,-0.11040586861997745,-0.10943579251084237,-1.7124085510366909,0.7837837837837835,-2.475699454912247,0.0,1.0,0.3812499999999999,0.11904761904761907,-1.6996452784357519,0.889196675900277,-0.08069277987912789,0.1968422918582533,-0.9929050920992535,-0.09056637719251512,0.7655372084183852,0.5531393115631726,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.6819983600624983,0.7313537016191707,train
2023-01-01 04:00:00,0.5636174634715533,0.6750047661227434,0.5624071459769154,0.7304785894206549,-0.11040586861997745,-0.08773139279142347,-1.7362474471740086,0.7702702702702702,-2.5954591723858873,0.0,1.0,0.07500000000000007,0.02380952380952373,-1.6996452784357519,0.889196675900277,-0.050390008697709175,0.2016317223144818,-1.0553683184376117,-0.07291133681398226,0.7023643981175296,0.4580449366087367,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.6427876096865396,0.7660444431189778,train
2023-01-01 05:00:00,0.6198687876089954,0.7509271675017037,0.6213618872611121,0.6801007556675063,-0.11040586861997745,-0.05058809737050109,-1.7124085510366909,0.7702702702702702,-2.5156193607367943,0.0,1.0,0.03750000000000003,-0.16666666666666674,-1.7198910360830924,0.889196675900277,-0.008905418852789474,0.25426687554870037,-1.1622632383074205,-0.03623431525725762,0.8287100187192431,0.44536006511258197,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.6018150231520483,0.7986355100472928,train
2023-01-01 06:00:00,0.6727291682441555,0.8225087115628149,0.6778343660467451,0.6297229219143576,-0.11040586861997745,-0.014446507225681695,-1.6647307587620543,0.7702702702702702,-2.475699454912247,0.05369731742678637,1.0,0.3375,0.0,-1.7198910360830924,0.889196675900277,0.03109576229168722,0.30508667063503825,-1.2662753443609327,-0.0008364501482210388,0.9550556393209566,0.5403939454669396,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.7071067811865477,0.7071067811865474,train
2023-01-01 07:00:00,0.7231540977910204,0.8902190436314621,0.7320251931918638,0.579345088161209,-0.11040586861997745,0.016154780852794075,-1.7124085510366909,0.7702702702702702,-2.55553926656134,0.05369731742678637,1.0,0.03125000000000003,0.0,-1.497187701962349,0.8947368421052633,0.06352785822260766,0.3530382724648827,-1.3543429807941565,0.02893493038335034,0.13380910540981578,0.44279014780537623,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.7431448254773946,0.6691306063588578,train
2023-01-01 08:00:00,0.7426706798007906,0.9055049397315479,0.7848854414937975,0.5037783375314862,-0.07234947772621785,0.031617703602476926,-1.5216973819381439,0.7297297297297296,-2.5156193607367943,0.0,1.0,0.35000000000000003,-0.023809523809523836,-1.5174334596096895,0.8919667590027702,0.07972153522371765,0.3978207909972211,-1.2535957041737396,0.03182387916847012,0.7023643981175296,0.5438146190951316,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.798635510047293,0.6018150231520479,train
2023-01-01 09:00:00,0.761519902837688,0.9184602561190947,0.8349964018354902,0.4282115869017632,-0.02868907587073573,0.04436424525268566,-1.4740195896635073,0.7297297297297296,-2.4357795490877,0.05369731742678637,1.0,0.28124999999999994,0.0,-1.497187701962349,0.8919667590027702,0.09387198668952121,0.44027992936666754,-1.123642360646444,0.04414125365270614,0.7655372084183852,0.523381739501429,0.0,0.0,0.0,15,Da Nang,Lien Chieu,-0.8480480961564261,0.5299192642332047,train
