timestamp,pm25,pm10,co,o3,no2,so2,temp,rh,dewpt,precip,clouds,wind_spd,wind_gusts,soil_temp_0_7,soil_moist_0_7,oxidation_potential,pollution_load,no2_so2_log_diff,humid_sulfate_risk,dpd,thermal_stability,stagnation_index,dust_source_potential,is_frozen,is_outlier,is_pm25_sensor_error,station_id,province,district,wind_sin,wind_cos,split
2023-01-01 00:00:00,0.7635483870967742,0.6087962962962963,-0.2918744015903446,0.2882352941176471,-0.5235602094240838,0.046607929014756355,-2.5155960627149243,0.7435897435897435,-2.2236662347866503,0.0,0.0,0.10674157303370785,-0.5000000000000001,-2.350780027481489,0.24555160142348753,0.2911531790207138,-0.43871522866495694,-0.8807010364455214,0.06676938044876479,-0.20721574016347657,-1.5376471003953651,0.23415165999734,0.6539528039252823,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.06975647374412564,0.9975640502598242,train
2023-01-01 01:00:00,1.1506451612903226,0.9560185185185186,-0.36938633566164425,0.29411764705882354,-0.6806282722513086,0.011135302428934324,-2.6062190733666526,0.782051282051282,-2.2068665804135703,0.0,0.02,0.10112359550561807,-0.5000000000000001,-2.4468429214623666,0.24555160142348753,0.22905236323978084,-0.5355234246655031,-1.1017229592130702,0.05574017831158125,-0.4005517250400921,-1.5376471003953651,0.23496673911611676,0.652455978663565,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.27563735581699894,0.9612616959383189,train
2023-01-01 02:00:00,1.3441935483870968,1.1296296296296298,-0.37950374596774783,0.2549019607843137,-0.6806282722513086,0.0,-2.6605928797576897,0.8076923076923076,-2.2236662347866503,0.0,0.06,0.10112359550561807,-0.5000000000000001,-2.5236932366470692,0.24555160142348753,0.19208525152330172,-0.5490661967808487,-1.0894685125416312,0.05994655979597961,-0.4649970533322968,-1.4441063265628178,0.23496673911611676,0.652455978663565,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.27563735581699894,0.9612616959383189,train
2023-01-01 03:00:00,1.8280645161290323,1.5625000000000002,-0.3901829710998624,0.21568627450980393,-0.6806282722513086,-0.011325658671751818,-2.6605928797576897,0.7948717948717948,-2.2404658891597298,0.0,0.09,-0.0617977528089887,-0.5357142857142857,-2.5813309730355956,0.24555160142348753,0.1539664496539326,-0.563194439152426,-1.0770045780326531,0.04164216395117134,-0.43277438918619426,-1.1634840050651867,0.2607463865314463,0.6072563121457565,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.3090169943749477,0.9510565162951535,train
2023-01-01 04:00:00,0.9248387096774194,0.7523148148148149,-0.4005367863416342,0.17647058823529413,-0.6806282722513086,-0.02284829516525022,-2.733091288279072,0.8205128205128204,-2.2404658891597298,0.0,0.11,0.11235955056179786,-0.5000000000000001,-2.6389687094241228,0.24555160142348753,0.11461372497116452,-0.5770813755503534,-1.0643238686109635,0.04529406582407876,-0.5616650457706049,-1.2570247788977305,0.23334108407811444,0.6554457332292851,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.3090169943749477,0.9510565162951535,train
2023-01-01 05:00:00,1.1829032258064516,0.9837962962962964,-0.37465087840970596,0.09803921568627451,-0.5602094240837695,-0.014761456683971016,-2.7874650946701096,0.8461538461538461,-2.2404658891597298,0.0,0.05,0.11235955056179786,-0.4642857142857144,-2.6773938670164736,0.24555160142348753,0.08886733289145857,-0.5404289635491879,-0.866076690758455,0.06747269801813778,-0.6583330382089136,-1.3505655527302773,0.23334108407811444,0.6554457332292851,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.3090169943749477,0.9510565162951535,train
2023-01-01 06:00:00,0.9248387096774194,0.7523148148148149,-0.34905663355345123,0.0196078431372549,-0.43455497382198927,-0.007907586265515546,-2.859963503191492,0.8589743589743589,-2.2908648522789674,0.0,0.0,0.2808988764044944,-0.42857142857142866,-2.735031603405001,0.24555160142348753,0.05619276579148404,-0.5045520450901538,-0.7062315327035731,0.08114242545887487,-0.6905557023550167,-1.4441063265628196,0.21094685651379697,0.6985169826704223,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.10452846326765342,0.9945218953682733,train
2023-01-01 07:00:00,0.8925806451612904,0.7245370370370371,-0.32458220308626134,-0.058823529411764705,-0.31413612565445026,0.0,-2.6062190733666526,0.8846153846153845,-1.9884710735635371,0.0,0.0,-0.37640449438202245,-0.3928571428571429,-2.350780027481489,0.24555160142348753,0.015637397863196203,-0.4701835292602851,-0.5840793673155039,0.10266586546827168,-0.8194463589394263,-2.0053509695580845,0.32591474915126367,0.5083919042804211,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.22495105434386534,0.9743700647852351,train
2023-01-01 08:00:00,1.0216129032258066,0.8402777777777778,-0.3542039641475955,0.0921568627450981,-0.41884816753926696,-0.003377415462997576,-2.098730213716973,0.6794871794871794,-2.0052707279366166,0.0,0.0,-0.2808988764044944,-0.35714285714285715,-2.2739297122967868,0.24555160142348753,0.1236571401992048,-0.5065371369957049,-0.6927572232646767,-0.021690241672199063,0.1150109012975504,0.2396276024229786,0.30348921243026855,0.5402450028619403,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.1564344650402311,0.9876883405951377,train
2023-01-01 09:00:00,1.2796774193548388,1.0717592592592593,-0.38482761511313135,0.24117647058823524,-0.5235602094240838,-0.007907586265515546,-1.718113568979714,0.5,-2.2068665804135703,0.0,0.0,0.12921348314606743,0.21428571428571416,-2.004953609150328,0.24555160142348753,0.20794841133514078,-0.5445335467362838,-0.8207064849700088,-0.15544290328771573,1.178358818118937,0.894413019250786,0.23093600539175485,0.6599013468936348,0.0,0.0,0.0,3,Ha Noi,Tay Ho,0.1908089953765448,0.981627183447664,train
2023-01-01 10:00:00,0.6990322580645162,0.5509259259259259,-0.4165233090498652,0.39215686274509803,-0.6282722513089006,-0.011325658671751818,-1.4643691391548748,0.4358974358974359,-2.2068665804135703,0.0,0.0,0.005617977528090018,0.35714285714285715,-1.6975523484115185,0.24199288256227758,0.2789523915713646,-0.5834515417778937,-0.9796438467593261,-0.21228787203278127,1.6294761161643736,0.7073314715856965,0.24955023926752506,0.6267042622944667,0.0,0.0,0.0,3,Ha Noi,Tay Ho,0.15643446504023087,0.9876883405951378,train
2023-01-01 11:00:00,0.8603225806451613,0.6944444444444445,-0.3933216182700892,0.5352941176470588,-0.5078534031413612,0.11985794889471067,-1.264998515721072,0.3846153846153846,-2.1732672716674117,0.0,0.0,-0.2921348314606742,0.28571428571428564,-1.3325133512841825,0.23843416370106763,0.5095850333580814,-0.5009878056762546,-0.939761002979878,-0.13272895848968896,1.9194800934792982,-0.04099471907465452,0.3059910471557346,0.5371568238225667,0.0,0.0,0.0,3,Ha Noi,Tay Ho,0.052335956242943835,0.9986295347545738,train
2023-01-01 12:00:00,0.7635483870967742,0.6087962962962963,-0.3711377845674855,0.6803921568627451,-0.38219895287958117,0.22851564414249775,-1.0656278922872693,0.34615384615384615,-2.1564676172943322,0.0,0.01,-0.39887640449438205,0.14285714285714268,-1.0251120905453726,0.23487544483985767,0.7068133600556811,-0.42460061993247383,-0.9066186547497496,-0.06587671751414248,2.2417067349403252,-0.5086985882373755,0.3316002336075524,0.5014507337168453,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.12186934340514723,0.9925461516413221,train
2023-01-01 13:00:00,0.6667741935483872,0.5208333333333334,-0.34905663355345123,0.8235294117647058,-0.2617801047120419,0.3225291092570291,-0.9387556773748496,0.33333333333333337,-2.1228683085481728,0.0,0.2800000000000001,-0.651685393258427,0.0714285714285715,-0.7945611449912656,0.2313167259786476,0.8779615908237149,-0.3527896331853102,-0.8887197455382672,0.011085090352768695,2.402820055670838,-0.9764024574000967,0.40942973598208066,0.4061889912889332,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.3090169943749477,0.9510565162951535,train
2023-01-01 14:00:00,0.27967741935483875,0.17361111111111113,-0.3109467820880568,0.9862745098039215,-0.14136125654450257,0.3962562963223122,-0.8843818709838124,0.3205128205128205,-2.089268999802014,0.0,0.15,-1.0056179775280902,-0.142857142857143,-0.6408605146218607,0.22775800711743766,1.0297075125110162,-0.27691332162836135,-0.8658429157228047,0.06828805979688499,2.435042719816941,-1.4441063265628178,0.590586258686964,0.23848282472144128,0.0,0.0,0.0,3,Ha Noi,Tay Ho,-0.3090169943749477,0.9510565162951535,train
