0,1,2,3,4,5,6,7
5.0971,4.9267,4.853,4.7789,4.773,4.7602,4.7701,4.7089
4.7953,4.7321,4.7242,4.7173,4.7104,4.713,4.7126,4.7028
4.7898,4.7213,4.7,4.6992,4.6874,4.6858,4.6861,4.6804
