epoch,train_loss,val_loss,time,pm25_rmse,pm25_mae,pm25_r2,pm25_mape,pm10_rmse,pm10_mae,pm10_r2,pm10_mape,co_rmse,co_mae,co_r2,co_mape,o3_rmse,o3_mae,o3_r2,o3_mape,no2_rmse,no2_mae,no2_r2,no2_mape,so2_rmse,so2_mae,so2_r2,so2_mape
1,0.14369825390952357,0.1396849757203689,9.405641794204712,49.89656537606697,8.393547058105469,0.84681236743927,31.32391,65.58609337756938,12.696463584899902,0.8290349841117859,26.09692,1706.729987432107,293.5431213378906,0.20090681314468384,65.69673,17.355050689174842,11.462139129638672,0.7613635063171387,71.2609,17.76817487335371,8.153216361999512,0.6465952396392822,49.097656,41.428841124911095,12.428240776062012,0.5419422388076782,35.251774
2,0.10749512550871024,0.12312564316850443,6.4636006355285645,170.59913952376783,13.376972198486328,-0.790755033493042,29.692184,118.00174207532912,12.932758331298828,0.4465727210044861,23.629757,1451.0864894967494,254.1160888671875,0.422363817691803,51.271236,15.928599785847322,10.319015502929688,0.7989795207977295,66.71046,17.359771421835006,7.487784385681152,0.6626546382904053,43.7236,35.88781551911978,10.379352569580078,0.6562769412994385,28.871185
3,0.09445010463285089,0.11297517143763029,6.3635969161987305,62.95376101068645,8.416230201721191,0.7561482191085815,26.512007,68.60296777472531,11.551844596862793,0.8129448890686035,23.215157,1433.8362441366867,250.47340393066406,0.4360158443450928,43.592922,15.079917113382432,9.5306978225708,0.8198297619819641,61.384754,16.405102266401563,7.0996527671813965,0.6987378001213074,38.89517,34.95697865155558,9.710135459899902,0.6738762855529785,26.802584
4,0.0865267649125517,0.10875327604321333,6.425301551818848,83.40946392271682,8.864049911499023,0.5719316005706787,26.179611,72.56599905430917,11.332365036010742,0.7907092571258545,21.435564,1445.0885785999417,257.5093078613281,0.4271291494369507,41.278778,14.402329976939441,9.057075500488281,0.8356572389602661,57.914753,15.887508720677681,6.772865295410156,0.7174479961395264,38.522038,35.95770152315252,9.609747886657715,0.6549369096755981,25.42333
5,0.08037547697400332,0.10542281258564729,6.361895561218262,65.89451353536575,8.616981506347656,0.7328341007232666,27.461199,85.07717659021425,12.224711418151855,0.7123198509216309,22.65536,1420.1143879983754,232.970458984375,0.44675886631011963,40.68957,13.934122129559665,8.606654167175293,0.8461688160896301,58.93085,15.830737787959626,6.6155266761779785,0.7194637060165405,35.538273,32.8382971508211,8.907500267028809,0.7122098207473755,24.864452
6,0.07579420004667861,0.10345045580313755,9.595476150512695,55.40417455926719,7.920113563537598,0.8111280202865601,25.712702,82.10481820133944,11.78920841217041,0.7320702075958252,20.992634,1891.1642578052283,243.61212158203125,0.01887059211730957,45.26268,13.929591650855036,8.461457252502441,0.8462688326835632,53.01532,15.542530407396466,6.623216152191162,0.7295854091644287,37.09865,33.615944703090676,8.838682174682617,0.698418140411377,24.08201
7,0.07212171505452988,0.1021401108457492,6.564925193786621,57.1820096408171,7.757708549499512,0.7988123297691345,26.04694,64.65732614498337,10.676255226135254,0.8338427543640137,21.512976,1446.2825190812478,227.0988006591797,0.4261821508407593,44.43537,13.836745304799203,8.389683723449707,0.8483113646507263,51.39318,15.941736473546166,6.451030254364014,0.7155159115791321,35.544907,33.01182390565727,8.78834342956543,0.709160327911377,23.262966
8,0.0693020566404982,0.10275579455953378,6.396073818206787,75.64817891169787,8.971945762634277,0.6478891372680664,27.447983,108.50220961891743,13.083834648132324,0.532091498374939,22.210972,1429.2578056459934,234.12973022460938,0.43961185216903687,43.66983,13.687555182358798,8.344264030456543,0.8515648245811462,52.892433,15.88574047654944,6.505948543548584,0.7175109386444092,36.540596,32.307265427672185,8.465725898742676,0.7214424014091492,23.338024
9,0.06630302196863885,0.10172627831880864,6.2118980884552,62.47745687195903,7.973026275634766,0.7598242163658142,26.556677,68.63978736968997,10.776122093200684,0.8127440810203552,21.124796,2042.9841531446102,263.8062744140625,-0.14497971534729004,42.868942,13.721226774927393,8.38325309753418,0.8508335947990417,53.677647,16.512310637457453,6.626443862915039,0.6947874426841736,36.126183,34.03649200616799,8.682502746582031,0.6908251047134399,22.99357
10,0.06338914028937451,0.10346149979875638,6.187195777893066,75.66001900979474,9.12972640991211,0.6477788686752319,26.504921,97.36782908448252,12.707656860351562,0.6231967210769653,21.425762,1709.8673194139947,249.60169982910156,0.19796627759933472,42.518414,13.610157572936334,8.408349990844727,0.8532387614250183,54.680313,16.649431905133337,6.720941543579102,0.689697265625,36.520832,32.772706524923294,8.482316970825195,0.7133584022521973,22.445192
