epoch,train_loss,val_loss,time,pm25_rmse,pm25_mae,pm25_r2,pm25_mape,pm10_rmse,pm10_mae,pm10_r2,pm10_mape,co_rmse,co_mae,co_r2,co_mape,o3_rmse,o3_mae,o3_r2,o3_mape,no2_rmse,no2_mae,no2_r2,no2_mape,so2_rmse,so2_mae,so2_r2,so2_mape
1,0.17309207285053274,0.1577160981985239,10.242165803909302,15.96933191362676,8.760735511779785,0.7331527471542358,29.534689,29.124086291998072,14.227635383605957,0.6029187440872192,28.033846,1088.7733924008246,304.77587890625,0.20660555362701416,95.34734,27.301238158377885,17.208538055419922,0.6325013041496277,143.7845,31.768079521193027,13.771512985229492,0.3889981508255005,59.925697,33.51237965056719,20.15300941467285,0.5548039674758911,60.32687
2,0.1319634383369921,0.1381608084990428,6.150732040405273,15.559972105810273,8.334157943725586,0.7466581463813782,26.948496,29.314997519867603,13.432562828063965,0.5976958274841309,26.095041,924.4052817893242,260.0868225097656,0.4280751347541809,68.93612,25.34893091118132,14.988642692565918,0.6831815838813782,120.53392,29.575761139363028,12.738858222961426,0.47041893005371094,52.207546,30.19653943173528,17.489879608154297,0.6385443210601807,47.310074
3,0.11702958377224676,0.13027028739452362,6.185279607772827,15.152020995047987,7.955709934234619,0.7597682476043701,27.850155,28.07431196285138,12.944798469543457,0.6310282945632935,25.702324,899.1102198840807,257.16912841796875,0.45894676446914673,59.8517,24.45091094209861,14.182466506958008,0.7052314281463623,113.39711,36.78388338863146,12.663708686828613,0.18082678318023682,55.01619,28.82165302520778,16.54720687866211,0.670710027217865,44.993336
4,0.10731562977649746,0.12531095026777342,6.227752685546875,15.727742771936326,7.782811641693115,0.7411655187606812,26.866621,27.635765498136085,12.415098190307617,0.6424655914306641,24.626614,893.9041475460331,252.0180206298828,0.4651942253112793,58.869434,24.055262202861925,13.659087181091309,0.7146937251091003,116.0293,29.231798556965323,11.737884521484375,0.4826652407646179,48.97019,29.560248452511672,16.43277359008789,0.6536167860031128,46.105576
5,0.10075971916708606,0.12173076747701718,6.230938911437988,14.874967174333529,7.548646450042725,0.7684731483459473,25.331047,27.300672541009064,12.21288013458252,0.6510834693908691,24.115387,903.8168025103317,247.1881866455078,0.4532673954963684,61.838543,23.473422990992653,13.097209930419922,0.7283285856246948,115.898026,26.865205337248028,11.270219802856445,0.5630407929420471,46.591633,28.784813543301897,15.566134452819824,0.6715512871742249,43.44742
6,0.09555315547221609,0.12093803074497443,10.064989566802979,14.686151450723697,7.562912940979004,0.7743136286735535,25.624487,27.699918076156493,12.428145408630371,0.6408037543296814,24.467178,857.6588774098942,242.5968475341797,0.5076847076416016,58.63944,23.31656560141979,12.90256118774414,0.7319472432136536,110.079895,26.339070656847525,11.121332168579102,0.5799882411956787,45.915173,27.26413073448393,15.16662883758545,0.7053380608558655,42.627316
7,0.09158200938045309,0.12043812561493654,6.828679800033569,14.770020427134444,7.4795918464660645,0.7717286348342896,25.374088,26.957353608509475,12.19402027130127,0.6598038673400879,23.893394,858.3447369792628,244.8245849609375,0.50689697265625,59.645718,23.22022202601646,12.84614372253418,0.7341578006744385,111.65127,26.979586195660275,11.08254337310791,0.559312105178833,47.933388,27.5251072797495,15.141340255737305,0.6996699571609497,42.60106
8,0.08750886997480072,0.12184991997021895,6.929789066314697,15.27692824959141,7.775434970855713,0.755791187286377,26.112103,27.262350940602936,12.448342323303223,0.6520623564720154,24.577091,868.1170356006153,246.4915771484375,0.4956050515174866,59.493584,23.405817127172146,12.863678932189941,0.7298911809921265,112.20358,26.10015359299874,11.019001960754395,0.5875733494758606,46.009624,29.34828302147493,15.519392013549805,0.6585665345191956,43.173935
9,0.08405180261487818,0.12120013345892612,6.67603611946106,15.076691459541477,7.744751930236816,0.7621510028839111,26.098616,27.633485069211094,12.479493141174316,0.6425246000289917,24.582096,1002.0154377553272,249.05587768554688,0.3280097246170044,57.161407,23.273222452010835,12.747944831848145,0.7329428195953369,112.25762,25.899411982043627,10.975157737731934,0.5938930511474609,46.161724,27.034689764885297,14.801337242126465,0.7102766633033752,40.695744
10,0.08073657774802451,0.12195316512997334,9.098787784576416,15.113188868772967,7.7518630027771,0.760998010635376,25.741583,27.470243133479908,12.45997428894043,0.646735668182373,24.509146,1092.218556425407,252.81582641601562,0.20157653093338013,57.510216,23.263002758957864,12.928373336791992,0.7331773638725281,118.17773,26.039654349334448,11.00075626373291,0.5894831418991089,45.935253,27.16981509946401,14.739829063415527,0.7073732018470764,40.824226
